,Name,Weight (%),Identifier,Sector,Shares Held,yfinance_ticker
0,APPLE INC,6.988627,AAPL,-,171049062.0,AAPL
1,MICROSOFT CORP,6.555429,MSFT,-,88199591.0,MSFT
2,NVIDIA CORP,5.553783,NVDA,-,291901522.0,NVDA
3,AMAZON.COM INC,3.445049,AMZN,-,108636861.0,AMZN
4,META PLATFORMS INC CLASS A,2.408369,META,-,26018713.0,FB
5,ALPHABET INC CL A,1.944854,GOOGL,-,69740226.0,GOOGL
6,BERKSHIRE HATHAWAY INC CL B,1.827116,BRK.B,-,21494311.0,BRK.B
7,ALPHABET INC CL C,1.630972,GOOG,-,58019009.0,GOOG
8,ELI LILLY + CO,1.58143,LLY,-,9468234.0,LLY
9,JPMORGAN CHASE + CO,1.340257,JPM,-,34094019.0,JPM
10,BROADCOM INC,1.310885,AVGO,-,51716256.0,AVGO
11,TESLA INC,1.283497,TSLA,-,32918172.0,TSLA
12,UNITEDHEALTH GROUP INC,1.206809,UNH,-,10927452.0,UNH
13,EXXON MOBIL CORP,1.11,XOM,-,53259585.0,XOM
14,VISA INC CLASS A SHARES,0.966104,V,-,18690093.0,V
15,PROCTER + GAMBLE CO/THE,0.910383,PG,-,28021519.0,PG
16,JOHNSON + JOHNSON,0.869386,JNJ,-,28584520.0,JNJ
17,MASTERCARD INC   A,0.858698,MA,-,9747457.0,MA
18,COSTCO WHOLESALE CORP,0.852377,COST,-,5254818.0,COST
19,HOME DEPOT INC,0.783853,HD,-,11766278.0,HD
20,ABBVIE INC,0.750123,ABBV,-,20962512.0,ABBV
21,WALMART INC,0.719174,WMT,-,50716062.0,WMT
22,MERCK + CO. INC.,0.656033,MRK,-,30088490.0,MRK
23,NETFLIX INC,0.630236,NFLX,-,5116189.0,NFLX
24,COCA COLA CO/THE,0.605907,KO,-,46031973.0,KO
25,BANK OF AMERICA CORP,0.579311,BAC,-,80778443.0,BAC
26,ADOBE INC,0.554497,ADBE,-,5319149.0,ADBE
27,PEPSICO INC,0.535687,PEP,-,16325709.0,PEP
28,CHEVRON CORP,0.521694,CVX,-,20349087.0,CVX
29,SALESFORCE INC,0.519256,CRM,-,11503038.0,CRM
30,THERMO FISHER SCIENTIFIC INC,0.512581,TMO,-,4531622.0,TMO
31,ORACLE CORP,0.497056,ORCL,-,18943748.0,ORCL
32,LINDE PLC,0.482428,LIN,-,5707237.0,LIN
33,ADVANCED MICRO DEVICES,0.476921,AMD,-,19185616.0,AMD
34,ACCENTURE PLC CL A,0.468638,ACN,-,7452989.0,ACN
35,MCDONALD S CORP,0.458308,MCD,-,8555810.0,MCD
36,ABBOTT LABORATORIES,0.434192,ABT,-,20609975.0,ABT
37,CISCO SYSTEMS INC,0.431407,CSCO,-,48074284.0,CSCO
38,PHILIP MORRIS INTERNATIONAL,0.429118,PM,-,18434389.0,PM
39,WELLS FARGO + CO,0.413567,WFC,-,41392323.0,WFC
40,INTL BUSINESS MACHINES CORP,0.403865,IBM,-,10873500.0,IBM
41,TEXAS INSTRUMENTS INC,0.394019,TXN,-,10785179.0,TXN
42,QUALCOMM INC,0.388505,QCOM,-,13273497.0,QCOM
43,GE AEROSPACE,0.387682,GE,-,12995614.0,GE
44,DANAHER CORP,0.384729,DHR,-,7811142.0,DHR
45,VERIZON COMMUNICATIONS INC,0.3801,VZ,-,49922441.0,VZ
46,INTUIT INC,0.378673,INTU,-,3327142.0,INTU
47,AMGEN INC,0.376994,AMGN,-,6356118.0,AMGN
48,SERVICENOW INC,0.37185,NOW,-,2435903.0,NOW
49,INTUITIVE SURGICAL INC,0.367617,ISRG,-,4211013.0,ISRG
50,NEXTERA ENERGY INC,0.360545,NEE,-,24363800.0,NEE
51,S+P GLOBAL INC,0.359076,SPGI,-,3800483.0,SPGI
52,PFIZER INC,0.354341,PFE,-,67054911.0,PFE
53,CATERPILLAR INC,0.353836,CAT,-,5806286.0,CAT
54,WALT DISNEY CO/THE,0.352175,DIS,-,21644075.0,DIS
55,RTX CORP,0.345509,RTX,-,15766256.0,RTX
56,COMCAST CORP CLASS A,0.340584,CMCSA,-,46471503.0,CMCSA
57,GOLDMAN SACHS GROUP INC,0.339727,GS,-,3828330.0,GS
58,UNION PACIFIC CORP,0.334332,UNP,-,7238494.0,UNP
59,AT+T INC,0.329445,T,-,84908534.0,T
60,APPLIED MATERIALS INC,0.31964,AMAT,-,9885796.0,AMAT
61,PROGRESSIVE CORP,0.319627,PGR,-,6946284.0,PGR
62,UBER TECHNOLOGIES INC,0.319379,UBER,-,24807859.0,UBER
63,LOWE S COS INC,0.306444,LOW,-,6793081.0,LOW
64,AMERICAN EXPRESS CO,0.304659,AXP,-,6746589.0,AXP
65,TJX COMPANIES INC,0.287646,TJX,-,13446004.0,TJX
66,HONEYWELL INTERNATIONAL INC,0.283416,HON,-,7731091.0,HON
67,BOOKING HOLDINGS INC,0.278039,BKNG,-,402723.0,BKNG
68,ELEVANCE HEALTH INC,0.27669,ELV,-,2759524.0,ELV
69,CONOCOPHILLIPS,0.272395,COP,-,13886052.0,COP
70,STRYKER CORP,0.266678,SYK,-,4015663.0,SYK
71,MORGAN STANLEY,0.266014,MS,-,14884699.0,MS
72,LOCKHEED MARTIN CORP,0.265832,LMT,-,2535566.0,LMT
73,VERTEX PHARMACEUTICALS INC,0.264957,VRTX,-,3059828.0,VRTX
74,BLACKROCK INC,0.26478,BLK,-,1660488.0,BLK
